0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4182-System_ComputerName,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4390-System_FileExtension,4394-System_FileOwner,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4557-System_NotUserContent,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4623-System_Search_AutoSummary,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4672-System_SyncTransferStatusFlags,4676-System_ThumbnailCacheId,4700-System_VolumeId,5-System_ItemTypeText,WorkID
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","174","Hidden, System, Archive (38)","19/03/2019 04:49:34.7917880","19/03/2019 04:49:34.7917880","15/08/2019 19:33:16.2979384","file:C:/ProgramData/Microsoft/Windows/Start Menu/desktop.ini","Start Menu",,"19/03/2019 04:49:34.7917880","19/03/2019 04:49:34.7917880","19/03/2019 04:49:34.7917880",".ini",,"6","False","False","False","19/03/2019 04:49:34.7917880","C:\ProgramData\Microsoft\Windows\Start Menu","Start Menu (C:\ProgramData\Microsoft\Windows)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu)",".ini",,"desktop.ini","1079546231","0",,"15/08/2019 19:33:18.2349809","0","file",,"A95B1FEFE7C22BF5",,"Configuration settings","5"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","400","Hidden, System, Archive (38)","11/09/2019 03:49:10.0716414","19/03/2019 04:49:34.7917880","11/09/2019 03:49:10.0716414","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/desktop.ini","Programs",,"19/03/2019 04:49:36.0000000","19/03/2019 04:49:36.0000000","11/09/2019 03:49:10.0716414",".ini",,"6","False","False","False","19/03/2019 04:49:36.0000000","C:\ProgramData\Microsoft\Windows\Start Menu\Programs","Programs (C:\ProgramData\Microsoft\Windows\Start Menu)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)",".ini",,"desktop.ini","1079546231","0",,"11/09/2019 06:21:57.8151504","0,015625","file",,"7DD067D13C282E87",,"Configuration settings","11"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","338","Hidden, System, Archive (38)","19/03/2019 04:49:51.5118680","19/03/2019 04:49:34.8542933","15/08/2019 19:32:58.7395753","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/System Tools/desktop.ini","Windows System",,"19/03/2019 04:49:36.0000000","19/03/2019 04:49:36.0000000","19/03/2019 04:49:51.5118680",".ini",,"6","False","False","False","19/03/2019 04:49:36.0000000","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows System","Windows System (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows System\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows System)",".ini",,"desktop.ini","1079546231","0",,"15/08/2019 19:33:18.2349809","0","file",,"AC80CA071017EF72",,"Configuration settings","17"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","174","Hidden, System, Archive (38)","19/03/2019 04:49:34.8386671","19/03/2019 04:49:34.8386671","15/08/2019 19:31:13.8336341","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/StartUp/desktop.ini","Startup",,"19/03/2019 04:49:34.8386671","19/03/2019 04:49:34.8386671","19/03/2019 04:49:34.8386671",".ini",,"6","False","False","False","19/03/2019 04:49:34.8386671","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup","Startup (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup)",".ini",,"desktop.ini","1079546231","0",,"15/08/2019 19:33:18.2037407","0","file",,"57953129C7A463BC",,"Configuration settings","19"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","Desktop.ini","170","Hidden, System, Archive (38)","19/03/2019 04:49:34.8386671","19/03/2019 04:49:34.8386671","15/08/2019 19:24:49.1198854","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/Maintenance/Desktop.ini","Maintenance",,"19/03/2019 04:49:34.8386671","19/03/2019 04:49:34.8386671","19/03/2019 04:49:34.8386671",".ini",,"6","False","False","False","19/03/2019 04:49:34.8386671","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance","Maintenance (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","Desktop.ini","Desktop.ini","Desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini","Desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance)",".ini",,"Desktop.ini","1079546231","0",,"15/08/2019 19:33:18.1881180","0","file",,"A81DC4065080D6CB",,"Configuration settings","20"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","3098","Hidden, System, Archive (38)","08/09/2019 21:51:34.8778040","19/03/2019 04:49:34.8230408","08/09/2019 21:51:34.8778040","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/Administrative Tools/desktop.ini","Windows Administrative Tools",,"19/03/2019 04:49:36.0000000","19/03/2019 04:49:36.0000000","08/09/2019 21:51:34.8778040",".ini",,"6","False","False","False","19/03/2019 04:49:36.0000000","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Administrative Tools","Windows Administrative Tools (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Administrative Tools\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Administrative Tools)",".ini",,"desktop.ini","1079546231","0",,"08/09/2019 21:56:33.1508154","0,015625","file",,"B40F82F19B6DC70E",,"Configuration settings","23"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","1230","Hidden, System, Archive (38)","14/08/2019 02:31:51.5372945","19/03/2019 04:49:34.8074142","15/08/2019 19:33:17.2508386","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/Accessories/desktop.ini","Windows Accessories",,"19/03/2019 04:49:36.0000000","19/03/2019 04:49:36.0000000","14/08/2019 02:31:51.5372945",".ini",,"6","False","False","False","19/03/2019 04:49:36.0000000","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories","Windows Accessories (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories)",".ini",,"desktop.ini","1079546231","0",,"15/08/2019 19:33:18.1881180","0","file",,"FC541BEDC24DA724",,"Configuration settings","42"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","85","Hidden, System, Archive (38)","19/03/2019 04:49:51.5118680","19/03/2019 04:49:51.5118680","15/08/2019 19:30:08.2871928","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/Accessories/System Tools/desktop.ini","System Tools",,"19/03/2019 04:49:51.5118680","19/03/2019 04:49:51.5118680","19/03/2019 04:49:51.5118680",".ini",,"6","False","False","False","19/03/2019 04:49:51.5118680","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories\System Tools","System Tools (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories)","desktop.ini","desktop.ini","desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories\System Tools\desktop.ini","desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Accessories\System Tools)",".ini",,"desktop.ini","1079546231","0",,"15/08/2019 19:33:18.1724970","0","file",,"C8BE9231BE829561",,"Configuration settings","54"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","Desktop.ini","370","Hidden, System, Archive (38)","19/03/2019 04:49:51.4806165","19/03/2019 04:49:34.8074142","15/08/2019 19:30:08.2871928","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/Accessibility/Desktop.ini","Windows Ease of Access",,"19/03/2019 04:49:36.0000000","19/03/2019 04:49:36.0000000","19/03/2019 04:49:51.4806165",".ini",,"6","False","False","False","19/03/2019 04:49:36.0000000","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Ease of Access","Windows Ease of Access (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","Desktop.ini","Desktop.ini","Desktop","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Ease of Access\Desktop.ini","Desktop (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Ease of Access)",".ini",,"Desktop.ini","1079546231","0",,"15/08/2019 19:33:17.3133249","0","file",,"4073DB767351784B",,"Configuration settings","55"
"5CC58E7F77F64E41F9947A99194A1D30","26126312","desktop.ini","174","Hidden, System, Archive (38)","19/03/2019 04:49:34.8542933","19/03/2019 04:49:34.8542933","19/03/2019 04:49:34.8542933","file:C:/Users/desktop.ini","Users",,"19/03/2019 04:49:34.8542933","19/03/2019 04:49:34.8542933","19/03/2019 04:49:34.8542933",".ini",,"6","False","False","False","19/03/2019 04:49:34.8542933","C:\Users","Users (C:)","desktop.ini","desktop.ini","desktop","C:\Users\desktop.ini","desktop (C:\Users)",".ini",,"desktop.ini","1079546231","0",,"13/08/2019 13:44:59.0578547","0","file",,"05882CBB5C4E895B",,"Configuration settings","61"
